{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.295208215713501, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 228, 'mouseY': 599, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.3112213611602783, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 229, 'mouseY': 599, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.3192272186279297, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 231, 'mouseY': 599, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.3352494239807129, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 232, 'mouseY': 599, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.34325504302978516, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 232, 'mouseY': 599, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.48734545707702637, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 234, 'mouseY': 598, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.49535131454467773, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 236, 'mouseY': 598, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.50335693359375, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 236, 'mouseY': 597, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.5113632678985596, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 238, 'mouseY': 595, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.5193691253662109, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 239, 'mouseY': 594, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.5273873805999756, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 240, 'mouseY': 594, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.5353813171386719, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 242, 'mouseY': 593, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.5433859825134277, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 242, 'mouseY': 593, 'scrollX': 0, 'scrollY': 0}
{'user': 'admin', 'charc': 0, 'lClick': 0, 'rClick': 0, 'mClick': 0, 'sTime': 0.5513916015625, 'space': 0, 'backSpace': 0, 'delete': 0, 'ctrl': 0, 'alt': 0, 'capsLock': 0, 'shift': 0, 'tab': 0, 'numLock': 0, 'enter': 0, 'mouseX': 242, 'mouseY': 592, 'scrollX': 0, 'scrollY': 0}
